,Transaction ID,Account To,Account From,Transaction Date,Value,Cancelled?,Account Holder ID,Name,Date of Birth,Contact Number,First Line of Address,Account Number,Account Type,Balance Date,Balance
54,973381515,36871984,39013360,2023-02-12,1663.0,N,78561748,Nance Swalwel,02/05/2003,7599679728,84 Wayridge Avenue,39013360,Joint,2023-01-31,987.76
55,974884987,44228646,82776251,2023-02-04,1315.2,N,87578446,Morlee Urridge,09/01/1979,7504374105,1 Towne Park,82776251,Basic,2023-01-31,747.11
56,1013772741,48271608,19789505,2023-02-13,1665.4,N,51019591,Blanch Kinforth,12/07/1949,7628210281,94115 Clemons Alley,19789505,Basic,2023-01-31,893.9
57,1017702039,23959928,46215382,2023-02-03,1569.4,N,58028872,Dayna Wanklyn,26/03/1966,7602067324,72808 Towne Place,46215382,Gold,2023-01-31,549.77
58,1019117125,43623061,10769769,2023-02-02,1502.2,N,92082288,Babbette Bromby,24/05/1936,7355990194,447 Dwight Circle,10769769,Basic,2023-01-31,906.91
59,1019649690,67862200,13965360,2023-02-11,1655.3,N,65473538,Vincents Speare,25/07/1934,7910043558,82 Delaware Street,13965360,Basic,2023-01-31,299.46
60,1030564639,87556975,60860851,2023-02-07,1372.5,N,39258394,Langston Gunson,25/04/1931,7123651818,34619 Claremont Court,60860851,Basic,2023-01-31,17.96
62,1054269300,77917083,54377130,2023-02-08,1119.6,N,56387568,Carmela Warrilow,20/08/1959,7816201787,8 Laurel Parkway,54377130,Basic,2023-01-31,425.86
63,1058766783,27108454,95307629,2023-02-09,1324.2,N,71851514,Jennee Hoyle,14/12/1997,7534192345,726 Katie Court,95307629,Gold,2023-01-31,502.48
64,1066977682,84714323,10725127,2023-02-04,1268.7,N,34435244,Adeline Oxer,22/11/1998,7810160404,97044 Meadow Vale Avenue,10725127,Basic,2023-01-31,984.69
66,1097057445,21293955,22374612,2023-02-05,1110.7,N,27330896,Eleonore Raphael,09/06/1987,7100932184,2 Farragut Terrace,22374612,Gold,2023-01-31,554.31
67,1118814797,72008772,82920281,2023-02-03,1791.6,N,30951349,Fernanda Silvester,22/06/1956,7264886209,55 Sugar Parkway,82920281,Basic,2023-01-31,41.13
68,1160194041,26432558,38487215,2023-02-06,1543.0,N,13709133,Aubrey Jamieson,13/02/1971,7569932617,3 Tony Lane,38487215,Gold,2023-01-31,780.01
69,1244052175,16013218,16676577,2023-02-06,1436.4,N,28090300,Byrle Bianco,12/07/1997,7766660402,5 Acker Street,16676577,Gold,2023-01-31,407.24
70,1303697149,92319358,48071843,2023-02-09,1877.3,N,56236132,Roxanne Simmon,04/05/2001,7833639896,8768 Sage Junction,48071843,Gold,2023-01-31,997.62
72,1369012101,13274987,37004975,2023-02-08,1290.2,N,78209509,Sid Tinsey,20/03/1969,7762739943,7586 7th Avenue,37004975,Basic,2023-01-31,635.77
73,9632604202,27203821,37004975,2023-02-07,1679.8,N,78209509,Sid Tinsey,20/03/1969,7762739943,7586 7th Avenue,37004975,Basic,2023-01-31,635.77
74,1391751167,63298193,85265080,2023-02-12,1111.4,N,43664776,Michelina Haeslier,20/01/1991,7330908928,38843 Kensington Junction,85265080,Gold,2023-01-31,992.6
77,1492043389,50959802,38749064,2023-02-02,1436.3,N,11822535,Sileas Dogg,31/05/1999,7827162599,17502 Vahlen Way,38749064,Gold,2023-01-31,569.98
78,1542635829,63845700,28595197,2023-02-09,1606.6,N,88613935,Karmen Hunnybun,04/12/1937,7261375925,40 Comanche Crossing,28595197,Basic,2023-01-31,897.68
79,1571769293,79933337,81445756,2023-02-03,1253.8,N,62579126,Mic Knok,24/04/1996,7865262263,81645 Menomonie Hill,81445756,Basic,2023-01-31,267.66
80,1575348896,77841390,89632856,2023-02-08,1908.7,N,85052483,Gordan Paul,29/05/1972,7592938722,882 Schurz Lane,89632856,Basic,2023-01-31,557.83
81,1599468271,63298193,46085917,2023-02-08,1374.1,N,97306296,Felicdad Reder,20/10/1941,7889666644,6946 Hoffman Road,46085917,Gold,2023-01-31,340.16
82,1600966713,62671957,64486954,2023-02-11,1454.9,N,70983885,Eliza Morrad,11/07/1983,7443679085,30397 Morningstar Drive,64486954,Gold,2023-01-31,378.0
83,4133808312,41282329,64486954,2023-02-05,1685.4,N,70983885,Eliza Morrad,11/07/1983,7443679085,30397 Morningstar Drive,64486954,Gold,2023-01-31,378.0
84,1612227368,36668239,49581833,2023-02-02,1640.2,N,55839727,Sherri Lafee,19/03/1977,7195798418,65178 Lyons Junction,49581833,Basic,2023-01-31,117.56
85,1619996944,43811112,66152145,2023-02-07,1760.8,N,38808976,Arvy Brogiotti,25/03/1962,7284297046,6156 Eggendart Parkway,66152145,Basic,2023-01-31,83.45
88,1716788439,37945317,25746852,2023-02-10,1524.4,N,95536612,Rivkah Iacapucci,30/08/1954,7516033062,14 Weeping Birch Terrace,25746852,Gold,2023-01-31,320.7
89,4023198668,84187157,25746852,2023-02-14,1485.7,N,95536612,Rivkah Iacapucci,30/08/1954,7516033062,14 Weeping Birch Terrace,25746852,Gold,2023-01-31,320.7
90,1740428250,21558805,71332337,2023-02-07,1434.3,N,27293736,Gisella Farady,06/10/1930,7682559522,38 Forest Run Crossing,71332337,Basic,2023-01-31,661.23
93,1841176222,81994568,86218347,2023-02-10,1463.6,N,97026896,Gerik Ripsher,19/10/1975,7881980183,74304 Kropf Parkway,86218347,Basic,2023-01-31,481.16
94,1857908597,41542689,27596004,2023-02-12,1255.7,N,89861979,Garald Venny,27/07/1965,7535383868,9 Buell Hill,27596004,Gold,2023-01-31,505.73
95,1858273145,43597919,38606148,2023-02-12,1323.4,N,35531295,Sibelle Fryd,17/04/1955,7447580226,3 Nova Lane,38606148,Gold,2023-01-31,956.59
96,1893648036,58925998,75134291,2023-02-12,1261.6,N,23415773,Corabel Leisman,10/10/1948,7782076118,22 Weeping Birch Point,75134291,Basic,2023-01-31,903.25
97,1911852973,72716288,76847816,2023-02-07,1282.4,N,91111081,Maribeth L'Episcopio,04/12/1944,7146390021,81708 Almo Lane,76847816,Gold,2023-01-31,197.8
98,1912023679,50959802,38903150,2023-02-14,1157.1,N,97947050,Noellyn Scotney,28/08/1985,7760234692,24 Nancy Terrace,38903150,Basic,2023-01-31,263.28
99,1922898643,67270354,98886699,2023-02-10,1124.9,N,36883145,Hattie Alred,14/11/1975,7877076782,3638 Jenifer Alley,98886699,Basic,2023-01-31,300.31
101,1946831050,13267945,72934756,2023-02-04,1080.2,N,81155648,Andeee Targetter,14/03/1959,7267888814,6 Oakridge Avenue,72934756,Gold,2023-01-31,829.55
102,1995126314,21694967,99481977,2023-02-07,1808.5,N,68720625,Betsy Demangeon,02/07/2002,7873645269,2791 Melody Hill,99481977,Basic,2023-01-31,940.06
103,2019114135,87876065,52814597,2023-02-01,1821.6,N,92201515,Aluin Errey,11/01/1993,7748137461,65 Ramsey Court,52814597,Gold,2023-01-31,899.39
104,2978569654,11475827,52814597,2023-02-11,1129.9,N,92201515,Aluin Errey,11/01/1993,7748137461,65 Ramsey Court,52814597,Gold,2023-01-31,899.39
105,2065900199,39542358,97541080,2023-02-11,2361.6,N,23554979,Emanuele Mitcham,04/03/1967,7266880904,8678 Oneill Place,97541080,Gold,2023-01-31,677.34
106,2072542154,98671410,91658755,2023-02-03,1016.9,N,54385365,Derk McCullough,10/12/2001,7112324244,50 Declaration Plaza,91658755,Basic,2023-01-31,347.59
107,2073899234,86941058,57145139,2023-02-05,1233.7,N,15236607,Timofei Knibb,27/02/1966,7409125369,7455 Raven Center,57145139,Gold,2023-01-31,708.46
108,2076804692,60017511,71444662,2023-02-04,1131.3,N,91632181,Adelice Ghidoli,04/07/1982,7319330281,52566 Shopko Street,71444662,Gold,2023-01-31,276.78
109,2094371123,45859156,51471469,2023-02-10,1725.1,N,17600617,Elli Hazleton,08/12/1981,7671784422,89314 Monica Lane,51471469,Gold,2023-01-31,611.19
111,2113578247,22696687,21475060,2023-02-12,1061.5,N,78502675,Leontine Boatswain,17/05/1959,7838565712,65 Dryden Point,21475060,Gold,2023-01-31,354.98
115,2202297596,76256026,52317175,2023-02-12,1145.7,N,68550465,Osborn Di Gregorio,29/07/1993,7698908775,7678 Little Fleur Road,52317175,Gold,2023-01-31,25.94
116,2239143797,12666385,48831634,2023-02-04,1593.8,N,60122537,Rockie Neasham,14/07/1932,7214495114,7 Warrior Pass,48831634,Basic,2023-01-31,146.94
117,4303172405,71381278,48831634,2023-02-11,1243.0,N,60122537,Rockie Neasham,14/07/1932,7214495114,7 Warrior Pass,48831634,Basic,2023-01-31,146.94
118,2285320620,89645445,37789180,2023-02-09,1726.4,N,33936785,Conni Horry,22/01/1989,7395966131,4145 Sloan Drive,37789180,Gold,2023-01-31,854.05
120,2359633759,38990596,46643937,2023-02-07,1348.3,N,28934417,Taryn Likly,14/08/1970,7584875836,55 Melrose Terrace,46643937,Gold,2023-01-31,751.73
122,2390149693,32386770,96837696,2023-02-05,1131.8,N,88786772,Wenona McVitty,14/04/1988,7699796362,3 Crest Line Center,96837696,Gold,2023-01-31,889.9
123,2395653497,60114464,70554021,2023-02-10,1188.3,N,41586339,Nert Rosenzwig,11/11/1991,7280776110,684 Bobwhite Terrace,70554021,Gold,2023-01-31,44.26
124,2456424484,29288598,84310867,2023-02-14,1295.6,N,76544315,Emlynne Oneile,19/08/1968,7871594297,42 Stoughton Trail,84310867,Gold,2023-01-31,258.66
125,2488904619,35126236,20908067,2023-02-14,2138.0,N,27902624,Johnnie Exeter,31/07/1981,7670500402,53 Algoma Road,20908067,Basic,2023-01-31,607.53
127,2499034262,28251857,11228111,2023-02-02,1501.3,N,13413964,Shae Oxberry,05/08/1938,7802003865,9401 Village Pass,11228111,Basic,2023-01-31,130.36
128,2573182568,35210460,28053942,2023-02-01,1821.2,N,76671068,Donalt Sumbler,24/12/2001,7619027892,4408 Forest Park,28053942,Gold,2023-01-31,70.94
129,2577914652,13197335,49216581,2023-02-10,1812.5,N,23876156,Corie Twopenny,18/09/1973,7579843768,69370 Surrey Plaza,49216581,Gold,2023-01-31,911.91
131,2589340206,25779398,78773905,2023-02-11,1104.5,N,14287372,Kary Jeanneau,02/12/1949,7581411435,66 Lawn Junction,78773905,Basic,2023-01-31,511.78
132,2625787309,22374612,92931020,2023-02-11,1742.7,N,15721386,Sibylla Dowry,03/08/1975,7700782305,417 Schurz Parkway,92931020,Gold,2023-01-31,754.11
133,2640055526,79329254,63714888,2023-02-12,1143.7,N,53161387,Dennison Plank,08/04/1997,7698172293,137 Iowa Circle,63714888,Basic,2023-01-31,632.75
134,2654779653,24513968,93192347,2023-02-01,1277.2,N,72766172,Lori Furlow,27/01/1963,7501164237,5720 Gateway Drive,93192347,Gold,2023-01-31,298.01
135,6865729129,25006771,93192347,2023-02-12,2147.9,N,72766172,Lori Furlow,27/01/1963,7501164237,5720 Gateway Drive,93192347,Gold,2023-01-31,298.01
136,2733294954,15899774,42838186,2023-02-08,1382.5,N,43499450,Shurlock Siviter,11/01/1989,7401023617,11082 Cottonwood Street,42838186,Gold,2023-01-31,466.48
137,2799250149,77688406,65143384,2023-02-07,1516.3,N,42907105,Annmaria Craske,28/06/1957,7505587763,1045 Thompson Circle,65143384,Basic,2023-01-31,227.08
138,2833053614,76343783,84448752,2023-02-08,1253.6,N,53288992,Opaline Huddart,31/03/1938,7532581601,927 Algoma Park,84448752,Gold,2023-01-31,412.15
139,2837013145,87801896,78343618,2023-02-03,1632.0,N,38347662,Torrence Owtram,23/07/1992,7848649593,84 Pepper Wood Pass,78343618,Basic,2023-01-31,30.43
140,6438233536,71718483,78343618,2023-02-02,1193.3,N,38347662,Torrence Owtram,23/07/1992,7848649593,84 Pepper Wood Pass,78343618,Basic,2023-01-31,30.43
143,2862721220,69796371,34017695,2023-02-14,2002.7,N,78166725,Herbie Matresse,12/06/1986,7915593923,5417 Iowa Avenue,34017695,Basic,2023-01-31,672.46
144,4363519207,62862427,34017695,2023-02-13,1756.0,N,78166725,Herbie Matresse,12/06/1986,7915593923,5417 Iowa Avenue,34017695,Basic,2023-01-31,672.46
145,2882617933,41282329,61178950,2023-02-13,1023.0,N,37666929,Gawen Feldheim,17/10/1986,7551559282,9778 Larry Crossing,61178950,Basic,2023-01-31,104.88
149,2926917953,96121732,18348734,2023-02-11,1669.7,N,41598271,Colene Rastrick,24/03/1946,7955897701,8 Macpherson Terrace,18348734,Basic,2023-01-31,579.93
150,9128693981,45015534,18348734,2023-02-08,1032.4,N,41598271,Colene Rastrick,24/03/1946,7955897701,8 Macpherson Terrace,18348734,Basic,2023-01-31,579.93
152,2959546091,65724980,83981442,2023-02-06,1138.4,N,84350400,Emelyne Victory,27/06/1975,7635714109,793 Oak Center,83981442,Gold,2023-01-31,89.35
153,2966603895,39504855,79570236,2023-02-11,1000.2,N,95393533,Cicily Dearnly,13/05/1980,7353891176,7585 Michigan Park,79570236,Gold,2023-01-31,91.66
154,2973618347,72809943,68708795,2023-02-14,1297.2,N,67892807,Berna Hawgood,25/02/1982,7256434196,3 Dexter Terrace,68708795,Basic,2023-01-31,399.11
155,2976252556,62412215,71934515,2023-02-06,1011.5,N,40723861,Edmund Roseby,21/08/1945,7754311768,643 Fordem Center,71934515,Gold,2023-01-31,340.99
156,3008338488,77797288,30312615,2023-02-05,1852.7,N,34374206,Kennan Roomes,22/05/1969,7376999770,1 Magdeline Road,30312615,Gold,2023-01-31,659.36
157,3058104928,38969279,92195724,2023-02-04,1579.8,N,33346290,Robyn Grinin,27/05/1938,7284741090,9 Grasskamp Lane,92195724,Gold,2023-01-31,726.92
158,3072380945,22393008,59110895,2023-02-09,1260.0,N,97934007,Arron Isaac,30/07/1951,7116758375,1278 Mallard Park,59110895,Basic,2023-01-31,605.5
160,3107514675,33240853,26669001,2023-02-11,1318.1,N,72989737,Dot Yarker,27/10/2001,7411567799,3693 Tennyson Way,26669001,Basic,2023-01-31,70.04
161,3138077927,66416254,33116647,2023-02-06,1095.4,N,59471184,Kristos Mitchelmore,07/04/1986,7392923109,54 Loftsgordon Point,33116647,Basic,2023-01-31,391.76
162,3142386262,86068003,64299012,2023-02-14,2620.1,N,68222526,Ludvig Mustard,14/08/1998,7712521123,9125 Bultman Center,64299012,Basic,2023-01-31,509.56
164,3203866781,86339899,14337606,2023-02-06,1792.7,N,85170206,Em Willicott,25/11/1943,7460992733,7776 Parkside Way,14337606,Basic,2023-01-31,561.8
165,3268335284,61781801,80678427,2023-02-08,1051.4,N,90881466,Miguelita Wildbore,03/02/1976,7865100182,134 Gale Hill,80678427,Basic,2023-01-31,97.72
166,3298186899,96401230,94060198,2023-02-01,1663.4,N,20944328,Scotti Bissiker,29/05/1941,7977050145,283 Grasskamp Hill,94060198,Basic,2023-01-31,309.9
167,3364251460,92155262,32308270,2023-02-09,1060.0,N,50048247,Alley Hazeman,13/07/1932,7104529577,9991 Heffernan Court,32308270,Gold,2023-01-31,976.53
168,3365854789,41981752,95642341,2023-02-10,1375.3,N,71960167,Stanley Loddy,19/11/1994,7335737122,45654 Mockingbird Trail,95642341,Gold,2023-01-31,695.88
170,3435734426,28738041,22393008,2023-02-07,1806.9,N,94839122,Toinette Dight,30/07/1951,7661260409,8 Bluejay Avenue,22393008,Gold,2023-01-31,753.5
171,3441549473,64168292,72309641,2023-02-14,1323.7,N,35096245,Simeon Westwell,17/06/1966,7196750963,57 Cordelia Drive,72309641,Basic,2023-01-31,386.61
172,3449677802,74604471,60667043,2023-02-11,1199.0,N,81635721,Xaviera Morecombe,06/06/1936,7734631525,83 Cascade Court,60667043,Gold,2023-01-31,937.62
175,3472782188,62412215,50772829,2023-02-12,1278.9,N,32069845,Pall Lownsbrough,19/01/1939,7112760146,843 Dayton Avenue,50772829,Basic,2023-01-31,47.57
176,3478144698,99481977,76169332,2023-02-02,1695.5,N,98682102,Jacqueline Comello,15/08/1933,7366780779,2669 Sommers Way,76169332,Basic,2023-01-31,615.46
177,3481459262,58811985,54868017,2023-02-08,1024.6,N,71462944,Pen Wilshere,11/05/1934,7361493364,20 Laurel Point,54868017,Gold,2023-01-31,789.86
178,3488111660,88568543,26506201,2023-02-11,1215.8,N,85422591,Morton Heggs,09/07/1949,7505844255,327 Caliangt Road,26506201,Basic,2023-01-31,592.7
179,3493101317,95467370,39516154,2023-02-02,1273.1,N,43881787,Christalle Mitchel,23/08/1956,7445614911,641 Banding Drive,39516154,Gold,2023-01-31,620.87
180,4941311604,10847941,39516154,2023-02-11,1094.0,N,43881787,Christalle Mitchel,23/08/1956,7445614911,641 Banding Drive,39516154,Gold,2023-01-31,620.87
182,3525710887,44019515,19836996,2023-02-07,1159.5,N,63508404,Madelle Attril,14/07/1996,7589616818,32 Morrow Drive,19836996,Basic,2023-01-31,245.14
183,3548407560,57084496,11882775,2023-02-01,1058.7,N,50701874,Maggi Huard,01/08/1935,7487245589,51 7th Place,11882775,Basic,2023-01-31,299.41
184,5736260077,69468071,11882775,2023-02-06,1791.9,N,50701874,Maggi Huard,01/08/1935,7487245589,51 7th Place,11882775,Basic,2023-01-31,299.41
185,3588310436,33632099,16334793,2023-02-11,1991.3,N,79475074,Madelon Jerrolt,17/05/1964,7786860214,39 Lindbergh Terrace,16334793,Gold,2023-01-31,297.75
186,3592959115,15563919,41561470,2023-02-14,1083.0,N,70010884,Normy Ebbers,12/08/1964,7758113429,10 Dahle Point,41561470,Gold,2023-01-31,750.8
187,3693906904,46073044,61087394,2023-02-14,1879.5,N,87142111,Lalo Cheesman,02/10/1967,7507591005,1 Lawn Point,61087394,Basic,2023-01-31,112.81
188,4416585330,37789180,61087394,2023-02-08,1621.0,N,87142111,Lalo Cheesman,02/10/1967,7507591005,1 Lawn Point,61087394,Basic,2023-01-31,112.81
190,3717091964,47091705,26907311,2023-02-05,1195.0,N,33680005,Aleta Ruvel,25/12/1942,7856477700,12 Carioca Point,26907311,Basic,2023-01-31,842.69
191,3724174004,84448752,37319261,2023-02-06,1409.6,N,41867130,Antonia Storrie,29/07/1985,7360930651,1733 Bunting Lane,37319261,Basic,2023-01-31,574.42
192,3741609099,38990596,52442629,2023-02-03,1462.8,N,42457169,Paulita Samme,20/07/1953,7113330058,52 Clemons Road,52442629,Basic,2023-01-31,617.92
193,3764045884,88538200,15428008,2023-02-12,1077.3,N,78909455,Pearl Tradewell,20/05/2004,7238864294,7 Mariners Cove Way,15428008,Gold,2023-01-31,131.02
194,3776478144,85559926,81049128,2023-02-09,1727.8,N,72939081,Joanne Shrieves,21/12/1961,7961408348,31 Sauthoff Terrace,81049128,Basic,2023-01-31,694.91
195,3827516005,19980716,77342574,2023-02-02,1774.7,N,63713675,Pace Le Guin,02/12/1941,7280999435,3 2nd Way,77342574,Gold,2023-01-31,907.34
196,6813115820,35405748,77342574,2023-02-02,1666.0,N,63713675,Pace Le Guin,02/12/1941,7280999435,3 2nd Way,77342574,Gold,2023-01-31,907.34
197,3858103926,76869201,43811112,2023-02-09,1485.0,N,79342137,Tremain Eilert,06/01/1951,7881749686,29401 Sachtjen Trail,43811112,Gold,2023-01-31,99.92
198,3873340968,91971494,17039422,2023-02-06,1053.5,N,38814096,Agna Blenkiron,04/05/1980,7407748492,57 Harbort Trail,17039422,Basic,2023-01-31,941.44
199,3925247009,68775529,95993993,2023-02-03,1266.7,N,76019106,Elmore Byrne,02/11/2002,7869804011,8 Calypso Way,95993993,Basic,2023-01-31,95.41
200,3932700171,68484031,74255305,2023-02-11,1672.7,N,41709088,Sunny Grzegorecki,22/05/1965,7272693744,61 Victoria Park,74255305,Gold,2023-01-31,3.7
201,3960597703,46913859,26522255,2023-02-08,1127.1,N,49366602,Tessa Rosenthaler,22/01/1972,7859434217,317 Kinsman Lane,26522255,Gold,2023-01-31,283.67
202,6467222474,65579734,26522255,2023-02-13,1085.6,N,49366602,Tessa Rosenthaler,22/01/1972,7859434217,317 Kinsman Lane,26522255,Gold,2023-01-31,283.67
203,3977310534,58126511,62222306,2023-02-04,1639.2,N,15491759,Marice Brunsdon,05/07/1956,7718039705,4120 Monterey Parkway,62222306,Gold,2023-01-31,304.45
204,3988237213,47483982,80808205,2023-02-13,1017.6,N,14515913,Aymer Chessman,14/05/1979,7629430015,92952 Jackson Place,80808205,Basic,2023-01-31,280.92
