Account Number,Balance Date,Transaction Value,Balance
10553619,2023-02-05,-89.62,-503.97
10553619,2023-02-06,-1085.4,-1589.3700000000001
10553619,2023-02-11,873.9,-715.4700000000001
10553619,2023-02-14,1485.6,770.1299999999998
10553619,2023-02-14,-43.02,727.1099999999998
10554116,2023-01-31,,243.95
10554116,2023-02-01,-121.83,122.11999999999999
10586481,2023-01-31,,73.83
10586481,2023-02-03,100.42,174.25
10586481,2023-02-11,142.56,316.81
10586481,2023-02-12,128.32,445.13
10586481,2023-02-12,-49.53,395.6
10586481,2023-02-14,-24.89,370.71
10608220,2023-01-31,,632.92
10608220,2023-02-01,33.49,666.41
10608220,2023-02-01,-89.41,577.0
10608220,2023-02-04,-117.26,459.73999999999995
10608220,2023-02-05,78.8,538.54
10608220,2023-02-10,-55.88,482.65999999999997
10608220,2023-02-11,-142.56,340.09999999999997
10608220,2023-02-13,86.79,426.89
10608220,2023-02-13,-98.19,328.7
10608220,2023-02-13,-118.5,210.2
10631690,2023-01-31,,947.45
10631690,2023-02-03,165.39,1112.8400000000001
10631690,2023-02-03,-41.04,1071.8
10631690,2023-02-11,-151.02,920.78
10675607,2023-01-31,,284.84
10675607,2023-02-01,-114.21,170.63
10675607,2023-02-08,-19.11,151.51999999999998
10675607,2023-02-14,-908.4,-756.88
10725127,2023-01-31,,984.69
10725127,2023-02-04,-1268.7,-284.01
10725127,2023-02-09,148.39,-135.62
10725127,2023-02-11,102.03,-33.59
10725127,2023-02-12,-228.52,-262.11
10725127,2023-02-13,-157.99,-420.1
10769769,2023-01-31,,906.91
10769769,2023-02-01,-93.28,813.63
10769769,2023-02-02,38.78,852.41
10769769,2023-02-02,-20.72,831.6899999999999
10769769,2023-02-02,-96.8,734.89
10769769,2023-02-02,-1502.2,-767.3100000000001
10769769,2023-02-03,-89.51,-856.82
10769769,2023-02-05,145.08,-711.74
10769769,2023-02-05,-59.15,-770.8900000000001
10769769,2023-02-08,-143.57,-914.46
10769769,2023-02-09,58.86,-855.6
10769769,2023-02-10,-51.82,-907.4200000000001
10769769,2023-02-10,-85.7,-993.1200000000001
10769769,2023-02-11,666.5,-326.6200000000001
10769769,2023-02-11,172.32,-154.30000000000013
10783139,2023-01-31,,992.98
10783139,2023-02-04,103.81,1096.79
10783139,2023-02-05,-92.78,1004.01
10783139,2023-02-08,-96.33,907.6800000000001
10783139,2023-02-09,9.69,917.37
10783139,2023-02-09,-129.76,787.61
10783139,2023-02-10,72.06,859.6700000000001
10783139,2023-02-12,109.08,968.75
10799356,2023-01-31,,915.04
10799356,2023-02-06,138.24,1053.28
10799356,2023-02-06,127.85,1181.1299999999999
10799356,2023-02-11,-120.98,1060.1499999999999
10799356,2023-02-11,-259.39,800.76
10799356,2023-02-12,-94.16,706.6
10799356,2023-02-14,-1314.7,-608.1
10819898,2023-01-31,,750.25
10819898,2023-02-01,103.68,853.9300000000001
10819898,2023-02-02,15.52,869.45
10819898,2023-02-03,-91.02,778.4300000000001
10819898,2023-02-05,-36.13,742.3
10819898,2023-02-08,123.29,865.59
10819898,2023-02-10,-104.75,760.84
10819898,2023-02-12,98.15,858.99
10819898,2023-02-14,114.54,973.53
10819898,2023-02-14,47.83,1021.36
10842511,2023-01-31,,651.77
10842511,2023-02-02,-155.92,495.85
10842511,2023-02-13,102.44,598.29
10847941,2023-01-31,,40.25
10847941,2023-02-06,-64.29,-24.040000000000006
10847941,2023-02-07,-143.62,-167.66000000000003
10847941,2023-02-08,92.54,-75.12000000000002
10847941,2023-02-10,-146.12,-221.24
10847941,2023-02-11,1094.0,872.76
10864084,2023-01-31,,119.98
10864084,2023-02-02,-150.75,-30.769999999999996
10864084,2023-02-02,-179.69,-210.45999999999998
10864084,2023-02-05,-39.08,-249.53999999999996
10864084,2023-02-06,154.92,-94.62
10864084,2023-02-06,114.81,20.189999999999998
10864084,2023-02-06,72.7,92.89
10864084,2023-02-10,98.32,191.20999999999998
10864084,2023-02-11,65.15,256.36
10864084,2023-02-13,-1545.5,-1289.1399999999999
10942334,2023-01-31,,55.42
10942334,2023-02-05,-92.89,-37.47
10942334,2023-02-07,-33.98,-71.44999999999999
10942334,2023-02-10,116.67,45.22
10942334,2023-02-11,84.45,129.67000000000002
10949168,2023-01-31,,471.8
10949168,2023-02-04,-105.89,365.91
10949168,2023-02-04,-127.73,238.18
10949168,2023-02-07,71.99,310.17
10949168,2023-02-09,-214.76,95.41000000000003
10949168,2023-02-11,146.95,242.36
10949168,2023-02-12,52.81,295.17
10949168,2023-02-14,-13.43,281.74
10989769,2023-01-31,,334.18
10989769,2023-02-03,854.4,1188.58
10989769,2023-02-12,-154.56,1034.02
10989769,2023-02-13,102.22,1136.24
10989769,2023-02-13,-66.55,1069.69
11008868,2023-01-31,,271.3
11008868,2023-02-02,-0.91,270.39
11008868,2023-02-07,-207.86,62.53
11008868,2023-02-13,96.98,159.51
11008868,2023-02-13,93.56,253.07
11008868,2023-02-14,131.58,384.65000000000003
11026937,2023-01-31,,303.44
11026937,2023-02-02,90.91,394.35
11026937,2023-02-02,-47.72,346.63
11026937,2023-02-06,-85.44,261.19
11026937,2023-02-07,-75.08,186.11
11026937,2023-02-07,-92.55,93.56
11026937,2023-02-13,-42.26,51.300000000000004
11026937,2023-02-14,67.47,118.77000000000001
11061291,2023-01-31,,72.7
11061291,2023-02-01,-162.41,-89.71
11061291,2023-02-03,-53.42,-143.13
11061291,2023-02-03,-149.54,-292.66999999999996
11061291,2023-02-04,186.95,-105.72
11061291,2023-02-08,61.41,-44.31
11061291,2023-02-08,5.73,-38.58
11061291,2023-02-09,-119.17,-157.75
11061291,2023-02-12,121.86,-35.89
11061291,2023-02-14,-78.98,-114.87
11067879,2023-01-31,,481.56
11067879,2023-02-01,187.01,668.5699999999999
11067879,2023-02-01,-812.6,-144.02999999999997
11067879,2023-02-02,-15.52,-159.54999999999998
11067879,2023-02-04,81.63,-77.91999999999997
11067879,2023-02-06,97.09,19.17000000000003
11067879,2023-02-07,151.33,170.50000000000006
11067879,2023-02-07,-96.93,73.57000000000002
11067879,2023-02-07,-123.45,-49.87999999999998
11067879,2023-02-08,-66.39,-116.26999999999998
11067879,2023-02-11,172.57,56.30000000000001
11067879,2023-02-11,-87.16,-30.859999999999985
11067879,2023-02-13,-78.91,-109.76999999999998
11110085,2023-01-31,,861.29
11110085,2023-02-03,107.9,969.1899999999999
11110085,2023-02-05,1712.2,2681.39
11110085,2023-02-06,97.33,2778.7200000000003
11110085,2023-02-11,109.66,2888.38
11110085,2023-02-12,122.36,3010.7400000000002
11110085,2023-02-12,-66.27,2944.4700000000003
11110085,2023-02-13,-147.67,2796.8
11110085,2023-02-14,1397.8,4194.6
11110085,2023-02-14,-152.84,4041.76
11150945,2023-01-31,,858.83
11150945,2023-02-01,240.2,1099.03
11150945,2023-02-01,-345.3,753.73
11150945,2023-02-03,32.07,785.8000000000001
11150945,2023-02-03,-189.03,596.77
11150945,2023-02-06,43.59,640.36
11150945,2023-02-09,133.16,773.52
11150945,2023-02-09,98.03,871.55
11150945,2023-02-13,763.2,1634.75
11150945,2023-02-13,-126.72,1508.03
11228111,2023-01-31,,130.36
11228111,2023-02-01,-142.2,-11.839999999999975
11228111,2023-02-02,-1501.3,-1513.1399999999999
11228111,2023-02-09,179.65,-1333.4899999999998
11228111,2023-02-10,169.47,-1164.02
11228111,2023-02-11,77.54,-1086.4799999999998
11228111,2023-02-11,69.11,-1017.3699999999999
11242986,2023-01-31,,344.68
11242986,2023-02-01,-160.4,184.28
11242986,2023-02-06,-21.12,163.16
11242986,2023-02-08,-93.77,69.39
11242986,2023-02-09,55.87,125.25999999999999
11242986,2023-02-11,-102.16,23.099999999999994
11251776,2023-01-31,,504.02
11251776,2023-02-03,88.94,592.96
11251776,2023-02-04,84.15,677.11
11251776,2023-02-09,150.22,827.3299999999999
11251776,2023-02-10,-67.69,759.64
11251776,2023-02-11,79.08,838.72
11251776,2023-02-14,-950.7,-111.98000000000002
11302888,2023-01-31,,458.83
11302888,2023-02-04,117.6,576.43
11302888,2023-02-05,-80.56,495.87
11302888,2023-02-06,182.96,678.8299999999999
11302888,2023-02-10,-19.72,659.11
11306584,2023-01-31,,522.4
11306584,2023-02-01,52.0,574.4
11306584,2023-02-03,-432.2,142.2
11306584,2023-02-07,1198.9,1341.1000000000001
11306584,2023-02-07,45.38,1386.4800000000002
11306584,2023-02-09,151.14,1537.6200000000001
11306584,2023-02-10,-30.61,1507.0100000000002
11306584,2023-02-11,63.83,1570.8400000000001
11306584,2023-02-12,1681.9,3252.7400000000002
11306584,2023-02-12,-71.74,3181.0000000000005
11306584,2023-02-14,-701.1,2479.9
11333185,2023-01-31,,693.23
11333185,2023-02-02,99.58,792.8100000000001
11333185,2023-02-06,113.2,906.01
11333185,2023-02-06,-676.7,229.30999999999995
11333185,2023-02-07,186.08,415.39
11333185,2023-02-07,-1440.9,-1025.5100000000002
11333185,2023-02-10,-67.29,-1092.8000000000002
11333185,2023-02-11,155.81,-936.9900000000002
11333185,2023-02-11,88.41,-848.5800000000003
11333185,2023-02-11,-138.48,-987.0600000000002
11333185,2023-02-13,1582.4,595.3399999999999
11346696,2023-01-31,,661.99
11346696,2023-02-04,-91.69,570.3
11346696,2023-02-06,-75.77,494.53000000000003
11346696,2023-02-09,-113.15,381.38
11346696,2023-02-10,-812.8,-431.41999999999996
11346696,2023-02-13,-1487.7,-1919.12
11359678,2023-01-31,,837.17
11359678,2023-02-07,65.16,902.3299999999999
11359678,2023-02-07,-67.04,835.29
11359678,2023-02-11,62.24,897.53
11359678,2023-02-14,-74.53,823.0
11360263,2023-01-31,,136.79
11360263,2023-02-01,100.02,236.81
11360263,2023-02-03,130.53,367.34
11360263,2023-02-03,101.8,469.14
11360263,2023-02-06,173.03,642.17
11360263,2023-02-06,80.15,722.3199999999999
11360263,2023-02-09,-68.25,654.0699999999999
11360263,2023-02-12,-47.25,606.8199999999999
11368995,2023-01-31,,565.8
11368995,2023-02-01,-63.48,502.31999999999994
11368995,2023-02-02,150.75,653.0699999999999
11368995,2023-02-02,-140.61,512.4599999999999
11368995,2023-02-04,-121.49,390.96999999999997
11368995,2023-02-05,-92.6,298.36999999999995
11368995,2023-02-06,52.22,350.59
11368995,2023-02-08,65.06,415.65
11437275,2023-01-31,,115.34
11437275,2023-02-05,98.47,213.81
11437275,2023-02-07,112.5,326.31
11437275,2023-02-07,-144.5,181.81
11437275,2023-02-09,94.06,275.87
11437275,2023-02-10,-100.43,175.44
11437275,2023-02-10,-112.61,62.83
11438427,2023-01-31,,484.08
11438427,2023-02-06,123.77,607.85
11438427,2023-02-07,-23.9,583.9499999999999
11438427,2023-02-08,-190.12,393.83
11438427,2023-02-08,-1686.0,-1292.17
11463412,2023-01-31,,342.53
11463412,2023-02-07,-97.82,244.70999999999998
11463412,2023-02-09,1582.3,1827.01
11475827,2023-01-31,,363.88
11475827,2023-02-01,48.39,412.27
11475827,2023-02-07,89.09,501.36
11475827,2023-02-08,-45.54,455.82
11475827,2023-02-11,1129.9,1585.72
11475827,2023-02-11,86.86,1672.58
11475827,2023-02-12,106.02,1778.6
11522216,2023-01-31,,590.37
11522216,2023-02-03,43.61,633.98
11522216,2023-02-04,199.41,833.39
11522216,2023-02-10,106.62,940.01
11522216,2023-02-10,82.97,1022.98
11522216,2023-02-14,81.37,1104.35
11662506,2023-01-31,,573.89
11662506,2023-02-01,-167.85,406.03999999999996
11662506,2023-02-05,102.96,509.0
11662506,2023-02-05,89.72,598.72
11662506,2023-02-09,-38.09,560.63
11662506,2023-02-09,-134.78,425.84999999999997
11662506,2023-02-11,-84.35,341.5
11662506,2023-02-14,-77.33,264.16999999999996
11662506,2023-02-14,-1397.8,-1133.63
11694020,2023-01-31,,379.2
11694020,2023-02-04,-189.72,189.48
11694020,2023-02-06,44.43,233.91
11694020,2023-02-09,-1363.6,-1129.6899999999998
11694020,2023-02-12,1.29,-1128.3999999999999
11694020,2023-02-14,725.0,-403.39999999999986
11717885,2023-01-31,,6.06
11717885,2023-02-05,-72.53,-66.47
11717885,2023-02-13,-86.51,-152.98000000000002
11728970,2023-01-31,,711.65
11728970,2023-02-06,123.61,835.26
11728970,2023-02-06,84.79,920.05
11728970,2023-02-09,-135.18,784.87
11728970,2023-02-14,93.35,878.22
11736814,2023-01-31,,381.51
11736814,2023-02-03,-133.06,248.45
11736814,2023-02-05,-790.5,-542.05
11736814,2023-02-06,98.86,-443.18999999999994
11736814,2023-02-11,-1851.4,-2294.59
11744491,2023-01-31,,105.92
11744491,2023-02-01,142.98,248.89999999999998
11744491,2023-02-01,112.17,361.07
11744491,2023-02-03,656.3,1017.3699999999999
11744491,2023-02-04,-144.75,872.6199999999999
11744491,2023-02-06,-92.39,780.2299999999999
11744491,2023-02-09,87.15,867.3799999999999
11744491,2023-02-09,-176.85,690.53
11744491,2023-02-10,-39.7,650.8299999999999
11744491,2023-02-11,85.89,736.7199999999999
11744491,2023-02-12,-55.81,680.9099999999999
11744491,2023-02-13,115.86,796.7699999999999
11744491,2023-02-13,-121.39,675.3799999999999
11764022,2023-01-31,,286.66
11764022,2023-02-01,-117.24,169.42000000000002
11764022,2023-02-03,3.65,173.07000000000002
11764022,2023-02-10,86.61,259.68000000000006
11778031,2023-01-31,,514.7
11778031,2023-02-08,-37.69,477.01000000000005
11778031,2023-02-09,-64.44,412.57000000000005
11778031,2023-02-11,102.08,514.6500000000001
11778031,2023-02-13,569.6,1084.25
11790056,2023-01-31,,49.7
11790056,2023-02-01,119.97,169.67000000000002
11790056,2023-02-01,-95.49,74.18
11790056,2023-02-03,12.0,86.18
11790056,2023-02-05,-91.81,-5.6299999999999955
11790056,2023-02-06,-47.78,-53.41
11790056,2023-02-06,-688.5,-741.91
11790056,2023-02-08,90.7,-651.2099999999999
11790056,2023-02-08,-41.57,-692.78
11790056,2023-02-09,-969.7,-1662.48
11804173,2023-01-31,,353.62
11804173,2023-02-02,119.36,472.98
11804173,2023-02-04,100.25,573.23
11804173,2023-02-04,-159.42,413.81
11804173,2023-02-11,-53.59,360.22
11826060,2023-01-31,,782.13
11826060,2023-02-05,63.32,845.45
11826060,2023-02-07,81.64,927.09
11826060,2023-02-09,38.13,965.22
11826060,2023-02-11,-63.83,901.39
11826060,2023-02-13,118.67,1020.06
11826060,2023-02-13,93.04,1113.1
11831265,2023-01-31,,292.14
11831265,2023-02-01,-91.77,200.37
11831265,2023-02-01,-103.4,96.96999999999998
11831265,2023-02-01,-140.67,-43.7
11831265,2023-02-09,-98.31,-142.01
11831265,2023-02-10,89.98,-52.03
11831265,2023-02-13,157.99,105.96000000000001
11831265,2023-02-14,-85.67,20.290000000000006
11836917,2023-01-31,,650.14
11836917,2023-02-01,-138.19,511.95
11836917,2023-02-12,90.66,602.61
11836917,2023-02-14,165.55,768.16
11836917,2023-02-14,87.88,856.04
11846043,2023-01-31,,915.59
11846043,2023-02-02,69.49,985.08
11846043,2023-02-06,87.82,1072.9
11846043,2023-02-07,-56.28,1016.62
11846043,2023-02-10,-1640.4,-623.7800000000001
11846043,2023-02-12,139.76,-484.0200000000001
11882775,2023-01-31,,299.41
11882775,2023-02-01,-105.63,193.78000000000003
11882775,2023-02-01,-1058.7,-864.9200000000001
11882775,2023-02-03,118.76,-746.1600000000001
11882775,2023-02-03,-753.5,-1499.66
11882775,2023-02-05,84.05,-1415.6100000000001
11882775,2023-02-06,-90.05,-1505.66
11882775,2023-02-06,-1791.9,-3297.5600000000004
11882775,2023-02-08,209.73,-3087.8300000000004
11882775,2023-02-09,1202.9,-1884.93
11910409,2023-01-31,,241.22
11910409,2023-02-01,-80.43,160.79
11910409,2023-02-04,-78.93,81.85999999999999
11910409,2023-02-05,78.36,160.21999999999997
11910409,2023-02-05,-118.22,41.999999999999986
11910409,2023-02-06,-53.53,-11.530000000000015
11910409,2023-02-12,103.79,92.25999999999999
11910409,2023-02-13,112.31,204.57
11928523,2023-01-31,,818.51
11928523,2023-02-05,-149.91,668.6
11928523,2023-02-07,-76.58,592.02
11928523,2023-02-08,-74.38,517.64
11928523,2023-02-11,99.31,616.95
11928523,2023-02-12,2208.4,2825.3500000000004
11928523,2023-02-13,68.67,2894.02
12035637,2023-01-31,,461.35
12035637,2023-02-02,-779.9,-318.54999999999995
12035637,2023-02-02,-1138.0,-1456.55
12035637,2023-02-03,-36.14,-1492.69
12035637,2023-02-07,1190.8,-301.8900000000001
12035637,2023-02-07,260.82,-41.07000000000011
12035637,2023-02-07,230.31,189.2399999999999
12035637,2023-02-08,-90.52,98.7199999999999
12035637,2023-02-08,-143.15,-44.430000000000106
12035637,2023-02-08,-1169.6,-1214.03
12035637,2023-02-10,551.6,-662.43
12035637,2023-02-11,-137.31,-799.74
12035637,2023-02-12,-123.5,-923.24
12042151,2023-01-31,,336.44
12042151,2023-02-03,-89.74,246.7
12042151,2023-02-05,97.45,344.15
12042151,2023-02-07,101.5,445.65
12042151,2023-02-09,-64.03,381.62
12042151,2023-02-11,1271.5,1653.12
12042151,2023-02-11,-32.04,1621.08
12042151,2023-02-13,-61.53,1559.55
12088180,2023-01-31,,656.51
12088180,2023-02-11,22.62,679.13
12088180,2023-02-12,190.9,870.03
12088180,2023-02-14,-45.9,824.13
12099406,2023-01-31,,681.11
12099406,2023-02-01,-94.97,586.14
12099406,2023-02-07,-934.2,-348.06000000000006
12099406,2023-02-10,-143.73,-491.7900000000001
12099406,2023-02-12,1201.1,709.3099999999998
12099406,2023-02-13,112.0,821.3099999999998
12111805,2023-01-31,,890.99
12111805,2023-02-01,110.9,1001.89
12111805,2023-02-03,-79.35,922.54
12111805,2023-02-06,128.91,1051.45
12111805,2023-02-10,-185.21,866.24
12111805,2023-02-11,-77.84,788.4
12111805,2023-02-13,-202.54,585.86
12111805,2023-02-14,-94.45,491.41
12172627,2023-01-31,,550.41
12172627,2023-02-02,137.03,687.4399999999999
12172627,2023-02-05,-116.16,571.28
12172627,2023-02-12,-76.51,494.77
12185627,2023-01-31,,873.23
12185627,2023-02-02,-30.52,842.71
12185627,2023-02-03,225.89,1068.6
12185627,2023-02-04,-50.19,1018.41
12185627,2023-02-05,-80.67,937.74
12185627,2023-02-10,206.97,1144.71
12185627,2023-02-11,193.89,1338.6
12185627,2023-02-11,100.94,1439.54
12185627,2023-02-12,-72.94,1366.6
12185627,2023-02-13,-91.8,1274.8
12198380,2023-01-31,,445.46
12198380,2023-02-03,145.97,591.43
12198380,2023-02-04,134.24,725.67
12198380,2023-02-05,100.05,825.72
12198380,2023-02-05,-144.38,681.3399999999999
12198380,2023-02-05,-171.75,509.59
12198380,2023-02-07,-34.47,475.12
12198380,2023-02-09,145.71,620.8299999999999
12198380,2023-02-12,67.66,688.49
12198380,2023-02-14,-85.37,603.12
12199229,2023-01-31,,804.0
12199229,2023-02-11,-30.47,773.53
12199229,2023-02-11,-31.4,742.13
12233762,2023-01-31,,386.05
12233762,2023-02-05,-114.97,271.08000000000004
12233762,2023-02-06,-102.35,168.73000000000002
12233762,2023-02-07,-110.05,58.68000000000002
12233762,2023-02-07,-134.62,-75.93999999999998
12233762,2023-02-10,83.93,7.990000000000023
12233762,2023-02-11,-370.4,-362.40999999999997
12233762,2023-02-12,150.86,-211.54999999999995
12233762,2023-02-14,-176.37,-387.91999999999996
12240007,2023-01-31,,894.48
12240007,2023-02-02,93.98,988.46
12240007,2023-02-04,-2.44,986.02
12240007,2023-02-05,1748.6,2734.62
12240007,2023-02-05,-64.41,2670.21
12240007,2023-02-12,-127.13,2543.08
12240007,2023-02-13,-562.4,1980.6799999999998
12388837,2023-01-31,,463.31
12388837,2023-02-03,55.47,518.78
12388837,2023-02-05,-183.42,335.36
12388837,2023-02-07,65.45,400.81
12388837,2023-02-13,111.37,512.1800000000001
12388837,2023-02-14,87.61,599.79
12420291,2023-01-31,,578.47
12420291,2023-02-03,-1223.8,-645.3299999999999
12420291,2023-02-08,-796.3,-1441.6299999999999
12420291,2023-02-11,-105.46,-1547.09
12420291,2023-02-12,-70.05,-1617.1399999999999
12423613,2023-01-31,,459.18
12423613,2023-02-02,-1805.5,-1346.32
12423613,2023-02-04,95.13,-1251.19
12423613,2023-02-14,73.71,-1177.48
12440230,2023-01-31,,842.67
12440230,2023-02-07,16.27,858.9399999999999
12440230,2023-02-07,-197.12,661.8199999999999
12440230,2023-02-14,-175.06,486.76
12493067,2023-01-31,,404.61
12493067,2023-02-03,86.49,491.1
12493067,2023-02-06,114.74,605.84
12493067,2023-02-08,-105.32,500.52
12493067,2023-02-13,-93.04,407.48
12493067,2023-02-14,44.96,452.44
12494185,2023-01-31,,762.16
12494185,2023-02-04,71.39,833.55
12494185,2023-02-04,-97.26,736.29
12494185,2023-02-07,-97.29,639.0
12494185,2023-02-07,-117.32,521.68
12499656,2023-01-31,,96.27
12499656,2023-02-01,168.84,265.11
12499656,2023-02-01,75.09,340.2
12499656,2023-02-02,140.57,480.77
12499656,2023-02-03,-111.35,369.41999999999996
12499656,2023-02-05,147.75,517.17
12499656,2023-02-06,-88.22,428.95
12499656,2023-02-07,-38.62,390.33
12499656,2023-02-10,152.92,543.25
12499656,2023-02-13,98.34,641.5899999999999
12499656,2023-02-14,-156.27,485.31999999999994
12560453,2023-01-31,,85.03
12560453,2023-02-01,147.6,232.63
12560453,2023-02-05,152.02,384.65
12560453,2023-02-05,71.33,455.98
