,Account Number,Balance Date,Balance,Transaction Value
1,15077298,2023-02-01,779.12,-158.57
1,15100785,2023-02-01,934.1,
1,15163829,2023-02-01,458.6,
1,15258886,2023-02-01,564.48,-124.86
1,15265650,2023-02-01,293.82,146.1
1,15265700,2023-02-01,849.74,19.88
1,15290238,2023-02-01,177.19,83.96
1,15296624,2023-02-01,1266.4,-138.91
1,15324178,2023-02-01,833.62,
1,15334737,2023-02-01,726.73,217.35
1,15377274,2023-02-01,902.14,
1,15428008,2023-02-01,131.02,
1,15468532,2023-02-01,819.87,
1,15522788,2023-02-01,52.64,-101.62
1,15529292,2023-02-01,265.35,-117.6
1,15563919,2023-02-01,401.63,-90.71
1,15665459,2023-02-01,68.94,
1,15668160,2023-02-01,810.02,
1,15732629,2023-02-01,975.81,
1,15768459,2023-02-01,997.4,
1,15779976,2023-02-01,129.01,
1,15793232,2023-02-01,45.88,
1,15796180,2023-02-01,755.58,
1,15801209,2023-02-01,-686.46,-695.3
1,15805500,2023-02-01,230.39,
1,15810455,2023-02-01,81.69,
1,15826579,2023-02-01,-351.43,-948.2
1,15830962,2023-02-01,570.89,
1,15841031,2023-02-01,579.98,
1,15899774,2023-02-01,773.38,
1,15914466,2023-02-01,436.62,
1,15918861,2023-02-01,781.97,
1,15922706,2023-02-01,478.87,
1,15944303,2023-02-01,977.44,
1,15960008,2023-02-01,455.42,
1,15980710,2023-02-01,955.7,
1,16013218,2023-02-01,322.63,
1,16026987,2023-02-01,772.57,
1,16030234,2023-02-01,-25.840000000000003,-282.13
1,16063411,2023-02-01,896.73,
1,16067516,2023-02-01,494.33,
1,16087504,2023-02-01,200.9,144.25
1,16093178,2023-02-01,96.62,
1,16118153,2023-02-01,829.58,
1,16124993,2023-02-01,148.14,
1,16152779,2023-02-01,488.65999999999997,227.37
1,16157014,2023-02-01,957.82,99.09
1,16181964,2023-02-01,929.75,-49.69
1,16191280,2023-02-01,825.86,
1,16223952,2023-02-01,222.18,
1,16229373,2023-02-01,160.63,-96.26
1,16270746,2023-02-01,954.15,49.84
1,16306280,2023-02-01,921.83,
1,16312979,2023-02-01,833.92,
1,16334793,2023-02-01,297.75,
1,16453812,2023-02-01,356.9,
1,16506904,2023-02-01,495.49,-106.68
1,16584745,2023-02-01,-7.05,-136.51
1,16628269,2023-02-01,27.11,
1,16633794,2023-02-01,263.05,
1,16676577,2023-02-01,484.65,77.41
1,16927652,2023-02-01,623.36,-14.22
1,16977372,2023-02-01,494.39,-181.11
1,16984772,2023-02-01,823.43,
1,17024652,2023-02-01,918.84,
1,17039422,2023-02-01,941.44,
1,17051223,2023-02-01,558.16,
1,17085651,2023-02-01,945.51,
1,17138963,2023-02-01,-1368.75,-1500.7
1,17144855,2023-02-01,1187.98,295.34000000000003
1,17191420,2023-02-01,848.06,130.78
1,17228160,2023-02-01,143.62,-886.51
1,17264146,2023-02-01,345.33,
1,17284705,2023-02-01,64.03,-81.56
1,17301178,2023-02-01,311.47,
1,17434670,2023-02-01,148.92,
1,17469776,2023-02-01,443.18,
1,17483941,2023-02-01,1212.81,-225.73000000000002
1,17533114,2023-02-01,274.53,
1,17534364,2023-02-01,758.41,
1,17543122,2023-02-01,681.64,
1,17644586,2023-02-01,482.26,-55.49000000000001
1,17648252,2023-02-01,872.14,75.90000000000009
1,17669623,2023-02-01,163.19,
1,17692892,2023-02-01,457.79,
1,17722231,2023-02-01,877.21,-67.01
1,17749893,2023-02-01,1987.8899999999999,32.579999999999984
1,17810734,2023-02-01,348.22,
1,17840180,2023-02-01,558.52,0.96
1,17868317,2023-02-01,533.8,-172.78
1,17881363,2023-02-01,415.27,
1,17925406,2023-02-01,393.37,
1,17933377,2023-02-01,189.05,
1,17938672,2023-02-01,1007.94,102.95
1,17939571,2023-02-01,396.93,
1,17983851,2023-02-01,1009.64,160.4
1,18046225,2023-02-01,205.83,
1,18052851,2023-02-01,672.09,
1,18095448,2023-02-01,73.28,
1,18133554,2023-02-01,733.1,
1,18179400,2023-02-01,768.78,
1,18185362,2023-02-01,609.36,
1,18198770,2023-02-01,108.23,
1,18305932,2023-02-01,834.42,
1,18308848,2023-02-01,570.65,
1,18346988,2023-02-01,450.36,
1,18348734,2023-02-01,432.35,-147.58
1,18447548,2023-02-01,673.65,99.41
1,18451683,2023-02-01,501.75,
1,18517970,2023-02-01,709.95,
1,18563743,2023-02-01,649.46,
1,18582171,2023-02-01,732.99,
1,18584434,2023-02-01,877.81,
1,18645136,2023-02-01,674.96,120.09
1,18685463,2023-02-01,476.02,
1,18718399,2023-02-01,716.22,
1,18850031,2023-02-01,191.3,
1,18859451,2023-02-01,441.04,
1,18899132,2023-02-01,244.46,
1,18928638,2023-02-01,150.95,
1,19001745,2023-02-01,507.55,
1,19094015,2023-02-01,623.08,74.43
1,19154395,2023-02-01,1634.48,630.16
1,19160862,2023-02-01,211.53,
1,19201987,2023-02-01,624.55,
1,19216744,2023-02-01,123.53,
1,19220216,2023-02-01,628.89,
1,19242274,2023-02-01,256.69,9.419999999999987
1,19283264,2023-02-01,301.31,
1,19315124,2023-02-01,447.16,
1,19317267,2023-02-01,51.87,
1,19334563,2023-02-01,-249.15,-774.6
1,19387921,2023-02-01,840.31,-86.97
1,19429964,2023-02-01,694.43,
1,19432211,2023-02-01,24.19,
1,19524427,2023-02-01,579.16,
1,19530097,2023-02-01,960.21,
1,19559937,2023-02-01,4369.48,1413.98
1,19574610,2023-02-01,104.29,
1,19647966,2023-02-01,849.89,
1,19686460,2023-02-01,1235.1,818.4
1,19705767,2023-02-01,997.48,
1,19789505,2023-02-01,1935.8,1041.9
1,19836996,2023-02-01,245.14,
1,19876635,2023-02-01,1502.9,-182.44
1,19920990,2023-02-01,70.95,
1,19931073,2023-02-01,404.96,
1,19956941,2023-02-01,723.33,
1,19980716,2023-02-01,432.98,
1,20015298,2023-02-01,1112.33,158.51
1,20067958,2023-02-01,38.05,
1,20090784,2023-02-01,482.62,
1,20117480,2023-02-01,-15.71,-86.68
1,20129535,2023-02-01,590.26,143.85
1,20176338,2023-02-01,189.55,-100.02
1,20242626,2023-02-01,701.08,
1,20248053,2023-02-01,565.28,
1,20263437,2023-02-01,789.09,
1,20280759,2023-02-01,838.7,
1,20287993,2023-02-01,616.17,
1,20316429,2023-02-01,697.84,
1,20345467,2023-02-01,780.15,-72.35
1,20369153,2023-02-01,681.68,387.9
1,20372310,2023-02-01,366.41,
1,20413037,2023-02-01,235.79,
1,20425065,2023-02-01,866.77,
1,20464830,2023-02-01,181.25,
1,20632572,2023-02-01,286.44,
1,20704613,2023-02-01,168.7,97.11
1,20705548,2023-02-01,184.81,
1,20720894,2023-02-01,243.42,
1,20838578,2023-02-01,620.7,
1,20849721,2023-02-01,740.52,
1,20851460,2023-02-01,931.67,
1,20878023,2023-02-01,648.19,
1,20908067,2023-02-01,607.53,
1,20991411,2023-02-01,572.64,
1,20992354,2023-02-01,5.08,-82.18
1,21001872,2023-02-01,31.76,
1,21032760,2023-02-01,-95.77,-637.1
1,21047777,2023-02-01,699.12,
1,21142911,2023-02-01,610.9,-103.99
1,21293955,2023-02-01,232.88,
1,21314767,2023-02-01,678.73,-164.29000000000002
1,21368735,2023-02-01,136.1,-145.77
1,21392412,2023-02-01,708.46,
1,21464772,2023-02-01,719.8,
1,21475060,2023-02-01,354.98,
1,21515934,2023-02-01,416.63,-126.75
1,21550631,2023-02-01,84.96,
1,21558805,2023-02-01,586.63,
1,21601747,2023-02-01,352.44,-58.18
1,21618665,2023-02-01,67.65,-223.94
1,21646418,2023-02-01,909.55,
1,21655728,2023-02-01,761.31,
1,21675999,2023-02-01,1002.59,109.32
1,21694967,2023-02-01,90.13,
1,21705004,2023-02-01,496.88,
1,21711501,2023-02-01,252.99,126.36
1,21716351,2023-02-01,800.95,
1,21719977,2023-02-01,758.81,
1,21728352,2023-02-01,733.87,
1,21749252,2023-02-01,697.22,50.95
1,21750371,2023-02-01,329.19,
1,21816770,2023-02-01,693.8,
1,21844169,2023-02-01,460.47,-3.04
1,21844651,2023-02-01,525.16,
1,21881168,2023-02-01,950.62,
1,21898016,2023-02-01,117.42,
1,21918195,2023-02-01,510.33,
1,21966927,2023-02-01,511.1,
1,22027757,2023-02-01,836.78,-337.34000000000003
1,22035411,2023-02-01,9.55,
1,22054113,2023-02-01,398.02,33.36
1,22063978,2023-02-01,-24.859999999999957,-894.0899999999999
1,22099256,2023-02-01,523.78,
1,22137086,2023-02-01,410.35,
1,22268314,2023-02-01,-7.33,-160.38
1,22292682,2023-02-01,743.88,-130.44
1,22298371,2023-02-01,783.98,-107.18
1,22341160,2023-02-01,61.07,
1,22374612,2023-02-01,554.31,
1,22391508,2023-02-01,103.63,12.31
1,22393008,2023-02-01,753.5,
1,22403299,2023-02-01,702.95,
1,22404690,2023-02-01,726.06,
1,22412680,2023-02-01,637.99,
1,22483300,2023-02-01,763.23,
1,22683382,2023-02-01,894.78,-92.35
1,22696687,2023-02-01,133.52,
1,22730750,2023-02-01,1000.71,33.48
1,22799719,2023-02-01,481.26,
1,22830156,2023-02-01,596.06,
1,22833010,2023-02-01,587.79,-58.0
1,22846221,2023-02-01,688.6,-179.6
1,22884864,2023-02-01,521.87,
1,22888798,2023-02-01,326.4,
1,22951653,2023-02-01,432.25,17.61
1,23030554,2023-02-01,196.97,
1,23032852,2023-02-01,475.21,
1,23045208,2023-02-01,359.49,
1,23093541,2023-02-01,326.05,
1,23124345,2023-02-01,595.61,
1,23141588,2023-02-01,281.28,
1,23231848,2023-02-01,27.12,
1,23269253,2023-02-01,1224.36,899.8
1,23271383,2023-02-01,633.3,
1,23289647,2023-02-01,522.8,
1,23295106,2023-02-01,429.31,89.15
1,23310842,2023-02-01,78.85,
1,23321929,2023-02-01,408.3,
1,23325248,2023-02-01,49.31,
1,23333877,2023-02-01,525.23,-123.23
1,23369902,2023-02-01,846.7,129.91
1,23415061,2023-02-01,-30.9,-102.1
1,23445508,2023-02-01,373.43,
1,23479459,2023-02-01,176.23,
1,23490922,2023-02-01,934.35,
1,23498368,2023-02-01,576.05,101.12
1,23501735,2023-02-01,562.17,
1,23580422,2023-02-01,716.05,
1,23698615,2023-02-01,316.68,
1,23736501,2023-02-01,831.27,
1,23775829,2023-02-01,771.57,
1,23815822,2023-02-01,835.0,
1,23865100,2023-02-01,201.44,
1,23920423,2023-02-01,221.15,
1,23931414,2023-02-01,126.7,
1,23932793,2023-02-01,962.8,
1,23935849,2023-02-01,888.11,
1,23942646,2023-02-01,600.35,82.42
1,23959928,2023-02-01,878.83,
1,23962863,2023-02-01,-292.73,-599.8
1,23971753,2023-02-01,170.77,
1,24010877,2023-02-01,760.24,107.29
1,24051672,2023-02-01,429.37,
1,24076677,2023-02-01,494.74,
1,24085667,2023-02-01,327.2,78.1
1,24113784,2023-02-01,47.67,
1,24122572,2023-02-01,924.02,
1,24123707,2023-02-01,327.69,
1,24125563,2023-02-01,1006.61,98.33
1,24149353,2023-02-01,487.27,
1,24150990,2023-02-01,365.31,
1,24178466,2023-02-01,330.91,
1,24184530,2023-02-01,37.87,
1,24198488,2023-02-01,578.35,
1,24250015,2023-02-01,725.05,132.46
1,24285988,2023-02-01,783.9,
1,24298516,2023-02-01,694.26,-74.43
1,24299977,2023-02-01,158.87,-383.45
1,24308337,2023-02-01,764.57,
1,24370240,2023-02-01,562.94,-45.7
1,24382889,2023-02-01,14.23,
1,24406166,2023-02-01,746.97,
1,24434457,2023-02-01,385.3,
1,24462859,2023-02-01,646.0,
1,24510213,2023-02-01,142.59,
1,24513968,2023-02-01,1583.55,1277.2
1,24516638,2023-02-01,426.16,
1,24519138,2023-02-01,-65.81,-123.96
1,24529850,2023-02-01,800.79,
1,24531428,2023-02-01,565.21,
1,24533829,2023-02-01,309.42,118.62
1,24533935,2023-02-01,808.99,
1,24539679,2023-02-01,768.68,
1,24577383,2023-02-01,911.96,
1,24638469,2023-02-01,758.38,-209.89
1,24669065,2023-02-01,574.3,
1,24715803,2023-02-01,684.75,
1,24725325,2023-02-01,567.17,
1,24796881,2023-02-01,943.93,
1,24826358,2023-02-01,923.46,
1,24849103,2023-02-01,297.95,-83.41
1,24859951,2023-02-01,950.69,
1,24860683,2023-02-01,868.75,-114.22
1,24976861,2023-02-01,1074.48,91.95
1,24999129,2023-02-01,750.61,
1,25004339,2023-02-01,120.44,
1,25006771,2023-02-01,8076.950000000001,2077.2400000000002
1,25033680,2023-02-01,23.67,-615.8
1,25099734,2023-02-01,872.31,
1,25110012,2023-02-01,403.38,103.35
1,25133996,2023-02-01,419.22,
1,25146667,2023-02-01,-296.59,-830.7
1,25240031,2023-02-01,520.29,
1,25269707,2023-02-01,770.38,
1,25281513,2023-02-01,618.78,
1,25310962,2023-02-01,475.64,98.74
1,25318205,2023-02-01,582.9,
1,25406407,2023-02-01,450.11,56.06
1,25412464,2023-02-01,203.46,
1,25439304,2023-02-01,763.68,-126.4
1,25504032,2023-02-01,838.81,
1,25510430,2023-02-01,110.66,
1,25522226,2023-02-01,428.21,
1,25584693,2023-02-01,793.42,
1,25596483,2023-02-01,595.87,
1,25628234,2023-02-01,808.37,
1,25636885,2023-02-01,755.58,
1,25677428,2023-02-01,307.44,
1,25678043,2023-02-01,49.06,
1,25698177,2023-02-01,923.38,
1,25710768,2023-02-01,968.16,
1,25737886,2023-02-01,410.76,
1,25746852,2023-02-01,234.26,-86.44
1,25768265,2023-02-01,702.22,
1,25779398,2023-02-01,967.13,
1,25787771,2023-02-01,494.02,
1,25807378,2023-02-01,25.32,
1,25893329,2023-02-01,211.58,
1,25931435,2023-02-01,57.56,-69.52
1,25939481,2023-02-01,608.89,106.3
1,25941557,2023-02-01,370.54,-880.27
1,26008806,2023-02-01,553.23,
1,26023976,2023-02-01,681.17,
1,26070761,2023-02-01,641.67,
1,26087369,2023-02-01,605.87,-47.33
1,26101648,2023-02-01,9.84,
1,26102798,2023-02-01,104.08,
1,26109213,2023-02-01,698.97,
1,26115121,2023-02-01,466.67,
1,26118463,2023-02-01,1108.46,127.46
1,26248782,2023-02-01,70.58,
1,26375186,2023-02-01,804.02,
1,26432558,2023-02-01,2726.38,212.63
1,26506201,2023-02-01,592.7,
1,26522255,2023-02-01,283.67,
1,26528251,2023-02-01,539.97,
1,26632358,2023-02-01,1314.49,363.02
1,26643616,2023-02-01,564.06,-46.92999999999999
1,26669001,2023-02-01,70.04,
1,26675311,2023-02-01,989.13,
1,26751921,2023-02-01,800.07,
1,26791907,2023-02-01,139.81,-126.46
1,26793058,2023-02-01,384.98,
1,26863880,2023-02-01,818.47,
1,26874415,2023-02-01,19.62,
1,26884718,2023-02-01,688.12,114.47
1,26888158,2023-02-01,473.02,
1,26893181,2023-02-01,2921.29,-118.42000000000002
1,26906533,2023-02-01,312.58,
1,26907311,2023-02-01,842.69,
1,26953669,2023-02-01,894.43,81.22
1,26958171,2023-02-01,837.04,
1,26964507,2023-02-01,358.72,
1,26979446,2023-02-01,167.92,18.27
1,26985042,2023-02-01,248.7,
1,27010847,2023-02-01,22.29,-249.75
1,27108454,2023-02-01,423.96,
1,27117946,2023-02-01,342.03,
1,27170424,2023-02-01,211.66,
1,27193025,2023-02-01,242.27,54.7
1,27193470,2023-02-01,479.57,
1,27203821,2023-02-01,256.57,
1,27264533,2023-02-01,254.28,
1,27305999,2023-02-01,17.22,
1,27334998,2023-02-01,817.28,
1,27356852,2023-02-01,1279.94,289.53999999999996
1,27357010,2023-02-01,579.29,
1,27382109,2023-02-01,238.43,63.48
1,27388260,2023-02-01,39.64,
1,27389680,2023-02-01,815.68,
1,27415805,2023-02-01,902.28,
1,27430568,2023-02-01,514.21,-286.57
1,27580272,2023-02-01,352.81,
1,27582893,2023-02-01,639.21,
1,27585212,2023-02-01,150.57,
1,27589482,2023-02-01,623.57,129.54
1,27596004,2023-02-01,4866.93,1198.37
1,27600956,2023-02-01,84.39,
1,27625709,2023-02-01,538.84,-77.61
1,27628187,2023-02-01,344.63,
1,27713909,2023-02-01,199.77,
1,27806002,2023-02-01,565.08,
1,27821800,2023-02-01,322.23,
1,27845045,2023-02-01,217.81,80.9
1,27870202,2023-02-01,286.17,
1,27985160,2023-02-01,446.21,
1,28053942,2023-02-01,-1750.26,-1821.2
1,28063272,2023-02-01,252.41,
1,28142099,2023-02-01,420.86,
1,28222331,2023-02-01,658.44,242.86
1,28240243,2023-02-01,728.63,-122.07
1,28247818,2023-02-01,225.76,75.52
1,28251857,2023-02-01,517.59,85.99
1,28254911,2023-02-01,697.78,
1,28362321,2023-02-01,849.34,
1,28380949,2023-02-01,805.66,-131.58
1,28429440,2023-02-01,480.2,-57.95
1,28548067,2023-02-01,499.29,
1,28553155,2023-02-01,15.73,-131.36
1,28572979,2023-02-01,156.38,
1,28595197,2023-02-01,897.68,
1,28606808,2023-02-01,1.71,
1,28629966,2023-02-01,60.86,
1,28640713,2023-02-01,150.9,-53.43
1,28652960,2023-02-01,140.6,
1,28659160,2023-02-01,-57.17,-172.77
1,28680375,2023-02-01,337.2,
1,28696496,2023-02-01,150.57,
1,28738041,2023-02-01,907.31,
1,28743137,2023-02-01,781.13,
1,28745450,2023-02-01,321.2,163.82
1,28754062,2023-02-01,16.41,
1,28781155,2023-02-01,555.55,
1,28811285,2023-02-01,813.63,
1,28819175,2023-02-01,370.19,-44.29
1,28822117,2023-02-01,106.05,-98.74
1,28909144,2023-02-01,263.97,
1,28911002,2023-02-01,1997.76,1139.7
1,28969443,2023-02-01,12.77,
1,28976546,2023-02-01,325.42,-128.83
1,29000698,2023-02-01,954.02,
1,29017229,2023-02-01,950.07,
1,29039134,2023-02-01,218.26,
1,29043142,2023-02-01,210.89,
1,29052260,2023-02-01,639.05,
1,29061354,2023-02-01,180.47,
1,29074095,2023-02-01,599.29,86.91
1,29222005,2023-02-01,0.34,
1,29238925,2023-02-01,574.82,
1,29288598,2023-02-01,386.76,
1,29303323,2023-02-01,525.6,
1,29358670,2023-02-01,967.8,92.86
1,29422349,2023-02-01,623.61,
1,29464742,2023-02-01,557.11,
1,29473763,2023-02-01,724.82,
1,29489865,2023-02-01,854.53,
1,29523226,2023-02-01,910.16,102.6
1,29527534,2023-02-01,355.57,
1,29608056,2023-02-01,248.43,
1,29631870,2023-02-01,694.99,
1,29638033,2023-02-01,-958.74,-1905.12
1,29639626,2023-02-01,985.7,
1,29705419,2023-02-01,799.07,
1,29878790,2023-02-01,360.74,
1,29887258,2023-02-01,392.91,
1,29920698,2023-02-01,922.07,
1,29958061,2023-02-01,110.71,93.28
1,30030650,2023-02-01,414.27,
1,30058030,2023-02-01,39.21,
1,30093672,2023-02-01,939.77,
1,30110747,2023-02-01,1048.15,98.39
1,30112323,2023-02-01,1923.74,126.28
1,30196319,2023-02-01,689.01,-32.39
1,30227774,2023-02-01,447.55,-99.3
1,30235398,2023-02-01,973.95,
1,30237685,2023-02-01,751.93,
1,30279114,2023-02-01,1095.44,144.31
1,30312615,2023-02-01,659.36,
1,30324819,2023-02-01,823.45,
1,30340808,2023-02-01,895.41,
1,30372316,2023-02-01,189.39,
1,30374840,2023-02-01,564.42,
1,30396291,2023-02-01,803.37,
1,30409599,2023-02-01,117.47,
1,30428666,2023-02-01,393.33,
1,30484027,2023-02-01,400.36,127.65
1,30511779,2023-02-01,772.02,
1,30518350,2023-02-01,490.85,
1,30557885,2023-02-01,615.82,
1,30565855,2023-02-01,982.05,
1,30623117,2023-02-01,266.92,
1,30647433,2023-02-01,632.2,
1,30657838,2023-02-01,5324.29,2147.3500000000004
1,30671754,2023-02-01,621.9,
1,30672740,2023-02-01,355.33,
1,30688447,2023-02-01,555.31,
1,30718836,2023-02-01,1018.4399999999999,109.98999999999998
1,30723991,2023-02-01,310.02,
1,30758515,2023-02-01,138.13,102.39
1,30760024,2023-02-01,766.43,
1,30791105,2023-02-01,272.5,
1,30929422,2023-02-01,-78.44,-280.57
1,30970897,2023-02-01,-84.43,-141.6
1,30977834,2023-02-01,203.99,
1,30979429,2023-02-01,343.76,-70.34
1,30990911,2023-02-01,997.59,
1,31026801,2023-02-01,138.35,52.99
1,31131351,2023-02-01,278.94,
1,31150830,2023-02-01,-125.69,-161.85
1,31158381,2023-02-01,1616.98,363.12
1,31183587,2023-02-01,725.0,
1,31187024,2023-02-01,950.41,
1,31263913,2023-02-01,218.72,-48.78
1,31319183,2023-02-01,407.92,
1,31335654,2023-02-01,217.33,
1,31367758,2023-02-01,625.17,89.01
1,31392168,2023-02-01,615.42,
1,31525756,2023-02-01,444.7,81.02
1,31537778,2023-02-01,298.76,-36.43
1,31541158,2023-02-01,215.94,
1,31557275,2023-02-01,362.05,
1,31589468,2023-02-01,463.53999999999996,-885.27
1,31594938,2023-02-01,486.88,
1,31595213,2023-02-01,418.35,
1,31661113,2023-02-01,309.32,
1,31670977,2023-02-01,385.42,
1,31680976,2023-02-01,245.7,-82.09
1,31689747,2023-02-01,1011.78,104.57
1,31693244,2023-02-01,311.41,
1,31759645,2023-02-01,205.94,162.02
1,31770323,2023-02-01,666.66,
1,31774984,2023-02-01,1092.14,127.57
1,31826534,2023-02-01,541.64,
1,31830289,2023-02-01,860.84,44.29
1,31873155,2023-02-01,351.03,
1,31957459,2023-02-01,857.21,98.52
1,31978646,2023-02-01,393.51,
