,id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price,Month,Purchase Price Category,Market Cap Category,Rank
1212,213,Evangelin,Bruford,LB,Consumer Services,NYSE,"L Brands, Inc.",14790000000.0,71998.88,11,Large,Huge,2
1595,596,Larine,Pluck,E,Energy,NYSE,ENI S.p.A.,56640000000.0,71863.86,11,Large,Huge,3
1127,128,Selestina,Panyer,AGR,Public Utilities,NYSE,"Avangrid, Inc.",14160000000.0,71642.46,11,Large,Huge,4
1258,259,Dorena,Peppard,ABT,Health Care,NYSE,Abbott Laboratories,83660000000.0,71371.62,11,Large,Huge,5
2640,641,Nannie,Jerrand,AWK,Public Utilities,NYSE,American Water Works,14720000000.0,74877.8,12,Large,Huge,1
2531,532,Connie,Zappel,KYO,Technology,NYSE,Kyocera Corporation,21430000000.0,74724.46,12,Large,Huge,2
2002,3,Corene,Clother,USB,Finance,NYSE,U.S. Bancorp,88090000000.0,73511.98,12,Large,Huge,3
2697,698,Katine,Hardern,CTXS,Technology,NASDAQ,"Citrix Systems, Inc.",12080000000.0,69431.9,12,Large,Huge,4
2202,203,Florencia,Dabourne,TSM,Technology,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,186020000000.0,69056.61,12,Large,Huge,5
11854,855,Gilemette,Bransden,DRE,Consumer Services,NYSE,Duke Realty Corporation,10250000000.0,24954.71,1,Low,Huge,1
11587,588,Caterina,McHardy,BSAC,Finance,NYSE,Banco Santander Chile,11960000000.0,24647.37,1,Low,Huge,2
11988,989,Odele,Binnall,UNH,Health Care,NYSE,UnitedHealth Group Incorporated,175030000000.0,23687.36,1,Low,Huge,3
11681,682,Zelma,Loftus,COF,Finance,NYSE,Capital One Financial Corporation,39270000000.0,22964.7,1,Low,Huge,4
11476,477,Rois,Connikie,ZTS,Health Care,NYSE,Zoetis Inc.,30700000000.0,22637.66,1,Low,Huge,5
3897,898,Eb,Sunners,MET,Finance,NYSE,"MetLife, Inc.",57580000000.0,24515.47,2,Low,Huge,1
3674,675,Marlyn,Danzelman,PEG,Public Utilities,NYSE,Public Service Enterprise Group Incorporated,22490000000.0,23988.19,2,Low,Huge,2
3984,985,Lamar,Moutray Read,GWW,Consumer Services,NYSE,"W.W. Grainger, Inc.",10530000000.0,23519.04,2,Low,Huge,3
3173,174,Gilbertina,Dinjes,FOX,Consumer Services,NASDAQ,"Twenty-First Century Fox, Inc.",50200000000.0,22471.28,2,Low,Huge,4
3093,94,Shepperd,Currom,VIA,Consumer Services,NASDAQ,Viacom Inc.,15550000000.0,20916.7,2,Low,Huge,5
4135,136,Paco,Dinsell,PLD,Consumer Services,NYSE,"Prologis, Inc.",30830000000.0,24629.79,3,Low,Huge,1
4751,752,Aili,Phillput,WFC,Finance,NYSE,Wells Fargo & Company,269310000000.0,23692.96,3,Low,Huge,2
4745,746,Barnett,Mathew,ADI,Technology,NASDAQ,"Analog Devices, Inc.",29380000000.0,22183.7,3,Low,Huge,3
4055,56,Jessica,Mordy,NTRS,Finance,NASDAQ,Northern Trust Corporation,21710000000.0,21524.27,3,Low,Huge,4
4013,14,Correy,Dionisetti,MS,Finance,NYSE,Morgan Stanley,82280000000.0,21031.91,3,Low,Huge,5
5694,695,Heloise,McCook,PPG,Basic Industries,NYSE,"PPG Industries, Inc.",28480000000.0,24105.88,4,Low,Huge,1
5772,773,Jolynn,Tregensoe,SPG,Consumer Services,NYSE,"Simon Property Group, Inc.",50030000000.0,23682.02,4,Low,Huge,2
5712,713,Cristen,Gopsall,DAL,Transportation,NYSE,"Delta Air Lines, Inc.",38270000000.0,23411.39,4,Low,Huge,3
5302,303,Torrance,Yarnley,RE,Finance,NYSE,"Everest Re Group, Ltd.",10500000000.0,22821.51,4,Low,Huge,4
5933,934,Garnet,Haggerston,APA,Energy,NYSE,Apache Corporation,18850000000.0,22086.1,4,Low,Huge,5
6509,510,Harley,Mallinar,D,Public Utilities,NYSE,"Dominion Energy, Inc.",50770000000.0,24227.43,5,Low,Huge,1
6633,634,Pen,Dobell,CAH,Health Care,NYSE,"Cardinal Health, Inc.",23690000000.0,22425.07,5,Low,Huge,2
6164,165,Saundra,Zorzenoni,PKG,Consumer Durables,NYSE,Packaging Corporation of America,10130000000.0,21388.13,5,Low,Huge,3
6837,838,Ellyn,Bartrum,FMC,Basic Industries,NYSE,FMC Corporation,10200000000.0,20518.03,5,Low,Huge,4
6656,657,Ania,Burrass,BCR,Health Care,NYSE,"C.R. Bard, Inc.",22710000000.0,19111.4,5,Low,Huge,5
7302,303,Babbie,Phillot,EQT,Energy,NYSE,EQT Corporation,10190000000.0,24850.08,6,Low,Huge,1
7211,212,Jeffrey,Luetkemeyer,COH,Consumer Non-Durables,NYSE,"Coach, Inc.",13000000000.0,24157.07,6,Low,Huge,2
7103,104,Vera,Fransewich,CPB,Consumer Non-Durables,NYSE,Campbell Soup Company,16680000000.0,23135.55,6,Low,Huge,3
7833,834,Ferris,Dyer,MPC,Energy,NYSE,Marathon Petroleum Corporation,27890000000.0,22965.29,6,Low,Huge,4
7370,371,Guss,Insall,TS,Basic Industries,NYSE,Tenaris S.A.,18320000000.0,22087.79,6,Low,Huge,5
8389,390,Teena,Gurnee,AMD,Technology,NASDAQ,"Advanced Micro Devices, Inc.",10810000000.0,23948.95,7,Low,Huge,1
8785,786,Grove,Prinn,TI,Consumer Services,NYSE,Telecom Italia S.P.A.,19890000000.0,23699.25,7,Low,Huge,2
8896,897,Preston,Ollerearnshaw,GWW,Consumer Services,NYSE,"W.W. Grainger, Inc.",10530000000.0,23464.52,7,Low,Huge,3
8304,305,Heall,Yukhtin,HDB,Finance,NYSE,HDFC Bank Limited,75190000000.0,21853.14,7,Low,Huge,4
8531,532,Nickolai,Fozard,AGR,Public Utilities,NYSE,"Avangrid, Inc.",14160000000.0,21700.88,7,Low,Huge,5
9988,989,Ora,Berard,SEP,Public Utilities,NYSE,"Spectra Energy Partners, LP",13130000000.0,24372.21,8,Low,Huge,1
9035,36,Sallyanne,Briztman,BSMX,Finance,NYSE,Grupo Financiero Santander Mexico S.A. B. de C.V.,13140000000.0,21631.43,8,Low,Huge,2
9751,752,Caldwell,Bruins,WRK,Consumer Durables,NYSE,Westrock Company,14440000000.0,21305.25,8,Low,Huge,3
9074,75,Lammond,Drohane,FAST,Consumer Services,NASDAQ,Fastenal Company,12840000000.0,19522.13,8,Low,Huge,4
9993,994,Sasha,Aynscombe,CMI,Energy,NYSE,Cummins Inc.,27140000000.0,18856.13,8,Low,Huge,5
10547,548,Judon,Gascoyne,HAL,Energy,NYSE,Halliburton Company,38420000000.0,24045.08,9,Low,Huge,1
10489,490,Roderich,Guilford,WFC,Finance,NYSE,Wells Fargo & Company,269310000000.0,24028.29,9,Low,Huge,2
10690,691,Niles,MacShane,VZ,Public Utilities,NYSE,Verizon Communications Inc.,190220000000.0,23351.82,9,Low,Huge,3
10652,653,Alain,Ardy,PH,Capital Goods,NYSE,Parker-Hannifin Corporation,21660000000.0,23097.74,9,Low,Huge,4
10166,167,Erda,Grishukhin,UNP,Transportation,NYSE,Union Pacific Corporation,89930000000.0,21819.58,9,Low,Huge,5
602,603,Theo,Lewins,PKX,Basic Industries,NYSE,POSCO,19180000000.0,22345.58,10,Low,Huge,1
364,365,Illa,Chafney,SBUX,Consumer Services,NASDAQ,Starbucks Corporation,87090000000.0,19459.59,10,Low,Huge,2
167,168,Mack,Epton,KSU,Transportation,NYSE,Kansas City Southern,11010000000.0,18500.64,10,Low,Huge,3
178,179,Redford,Willerton,FCAU,Capital Goods,NYSE,Fiat Chrysler Automobiles N.V.,20650000000.0,17424.77,10,Low,Huge,4
971,972,Biddy,Polye,BBT,Finance,NYSE,BB&T Corporation,35970000000.0,14841.86,10,Low,Huge,5
1998,999,Catlin,Clifton,HAL,Energy,NYSE,Halliburton Company,38420000000.0,23474.77,11,Low,Huge,1
1010,11,Elaine,Doge,XL,Finance,NYSE,XL Group Ltd.,11510000000.0,22507.24,11,Low,Huge,2
1026,27,Benny,Trout,LLY,Health Care,NYSE,Eli Lilly and Company,90350000000.0,21841.38,11,Low,Huge,3
1982,983,Florence,Hadingham,DCUC,Public Utilities,NYSE,"Dominion Energy, Inc.",32020000000.000004,21389.09,11,Low,Huge,4
1934,935,Galven,Cutcliffe,DXC,Technology,NYSE,DXC Technology Company,21190000000.0,19859.69,11,Low,Huge,5
2446,447,Fabe,Trew,MO,Consumer Non-Durables,NYSE,Altria Group,149280000000.0,24269.42,12,Low,Huge,1
2156,157,Ashla,Willgrass,MNST,Consumer Non-Durables,NASDAQ,Monster Beverage Corporation,28570000000.0,23825.81,12,Low,Huge,2
2651,652,Sal,Braybrooks,PXD,Energy,NYSE,Pioneer Natural Resources Company,27010000000.0,23512.6,12,Low,Huge,3
2834,835,Franni,Saby,NWL,Consumer Non-Durables,NYSE,Newell Brands Inc.,26500000000.0,22765.61,12,Low,Huge,4
2874,875,Lura,Minihan,UNM,Finance,NYSE,Unum Group,10840000000.0,21210.7,12,Low,Huge,5
11414,415,Maxi,Westhoff,LUX,Health Care,NYSE,"Luxottica Group, S.p.A.",29050000000.0,49426.81,1,Medium,Huge,1
11377,378,Mavra,Bomfield,ANET,Technology,NYSE,"Arista Networks, Inc.",10910000000.0,49114.58,1,Medium,Huge,2
11967,968,Lenore,Kield,ECL,Basic Industries,NYSE,Ecolab Inc.,38950000000.0,47708.16,1,Medium,Huge,3
11829,830,Ced,Lorden,WFM,Consumer Services,NASDAQ,"Whole Foods Market, Inc.",13640000000.0,46993.71,1,Medium,Huge,4
11018,19,Allegra,Rochelle,LYG,Finance,NYSE,Lloyds Banking Group Plc,63770000000.0,46419.8,1,Medium,Huge,5
3980,981,Winifield,Sibbet,V,Miscellaneous,NYSE,Visa Inc.,217120000000.0,47838.95,2,Medium,Huge,1
3014,15,Rosalinde,Foxwell,TRP,Public Utilities,NYSE,TransCanada Corporation,41810000000.0,47659.42,2,Medium,Huge,2
3937,938,Suellen,Dalrymple,BEN,Finance,NYSE,"Franklin Resources, Inc.",24770000000.0,46765.16,2,Medium,Huge,3
3721,722,Chrissy,Castanyer,ORCL,Technology,NYSE,Oracle Corporation,185530000000.0,44152.27,2,Medium,Huge,4
3397,398,Nananne,Rajchert,IT,Consumer Services,NYSE,"Gartner, Inc.",11060000000.0,41842.97,2,Medium,Huge,5
4694,695,Glori,Pfaff,BX,Finance,NYSE,The Blackstone Group L.P.,39130000000.0,48321.15,3,Medium,Huge,1
4352,353,Garrot,Lepper,WEC,Public Utilities,NYSE,"WEC Energy Group, Inc.",20270000000.0,46345.39,3,Medium,Huge,2
4248,249,Therine,Till,O,Consumer Services,NYSE,Realty Income Corporation,15470000000.0,45990.23,3,Medium,Huge,3
4605,606,Gustavus,Diggles,AMD,Technology,NASDAQ,"Advanced Micro Devices, Inc.",10810000000.0,44205.0,3,Medium,Huge,4
4895,896,Elisha,Roller,D,Public Utilities,NYSE,"Dominion Energy, Inc.",50770000000.0,41492.64,3,Medium,Huge,5
5202,203,Tallulah,Patterson,MS,Finance,NYSE,Morgan Stanley,82280000000.0,49108.55,4,Medium,Huge,1
5393,394,Colas,Bemwell,ABT,Health Care,NYSE,Abbott Laboratories,83660000000.0,48477.86,4,Medium,Huge,2
5814,815,Brendin,Scholer,BA,Capital Goods,NYSE,Boeing Company (The),118570000000.0,48273.04,4,Medium,Huge,3
5728,729,Correy,Keen,SYF,Finance,NYSE,Synchrony Financial,23790000000.0,46208.94,4,Medium,Huge,4
5053,54,Wyn,Demeza,UDR,Consumer Services,NYSE,"United Dominion Realty Trust, Inc.",10750000000.0,45441.33,4,Medium,Huge,5
6274,275,Felicio,Arnowitz,CP,Transportation,NYSE,Canadian Pacific Railway Limited,22760000000.0,49976.54,5,Medium,Huge,1
6019,20,Valle,Dome,KB,Finance,NYSE,KB Financial Group Inc,19260000000.0,49949.66,5,Medium,Huge,2
6373,374,Merry,Purchall,MT,Basic Industries,NYSE,ArcelorMittal,20560000000.0,49429.87,5,Medium,Huge,3
6190,191,Noble,Scogings,QVCB,Consumer Services,NASDAQ,Liberty Interactive Corporation,10920000000.0,49029.39,5,Medium,Huge,4
6434,435,Alexis,Premble,E,Energy,NYSE,ENI S.p.A.,56640000000.0,46060.25,5,Medium,Huge,5
7173,174,Eveleen,Caldero,BBVA,Finance,NYSE,Banco Bilbao Viscaya Argentaria S.A.,53980000000.0,47636.22,6,Medium,Huge,1
7006,7,Justen,Eliyahu,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,108870000000.0,46371.32,6,Medium,Huge,2
7183,184,Terrell,Barmadier,YHOO,Technology,NASDAQ,Yahoo! Inc.,50380000000.0,45692.63,6,Medium,Huge,3
7990,991,Mal,Peebles,WLTW,Finance,NASDAQ,Willis Towers Watson Public Limited Company,20230000000.0,45591.94,6,Medium,Huge,4
7425,426,Wildon,Maguire,MS,Finance,NYSE,Morgan Stanley,82280000000.0,44754.31,6,Medium,Huge,5
8506,507,Juli,de Broke,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.0,49062.01,7,Medium,Huge,1
8284,285,Gaston,Davidofski,COL,Capital Goods,NYSE,"Rockwell Collins, Inc.",17430000000.0,48555.71,7,Medium,Huge,2
8017,18,Donna,Judson,HPE,Technology,NYSE,Hewlett Packard Enterprise Company,27090000000.0,47450.19,7,Medium,Huge,3
8891,892,Sanders,Featherstonhalgh,HRL,Consumer Non-Durables,NYSE,Hormel Foods Corporation,17940000000.0,47303.68,7,Medium,Huge,4
8783,784,Ailey,Bougen,ETFC,Finance,NASDAQ,E*TRADE Financial Corporation,10190000000.0,46743.52,7,Medium,Huge,5
9307,308,Michelina,Durkin,AVB,Consumer Services,NYSE,"AvalonBay Communities, Inc.",27020000000.0,46920.95,8,Medium,Huge,1
9921,922,Karina,Ryley,DISH,Consumer Services,NASDAQ,DISH Network Corporation,30050000000.0,46772.68,8,Medium,Huge,2
9891,892,Antonella,Bony,ALK,Transportation,NYSE,"Alaska Air Group, Inc.",10970000000.0,46631.33,8,Medium,Huge,3
9721,722,Giacomo,Soggee,FAST,Consumer Services,NASDAQ,Fastenal Company,12840000000.0,42713.0,8,Medium,Huge,4
9250,251,Helene,Caldicott,APA,Energy,NYSE,Apache Corporation,18850000000.0,40945.21,8,Medium,Huge,5
10219,220,Zabrina,Casper,EMR,Energy,NYSE,Emerson Electric Company,39110000000.0,49494.66,9,Medium,Huge,1
10256,257,Oralie,Dwyr,NTAP,Technology,NASDAQ,"NetApp, Inc.",10290000000.0,49109.01,9,Medium,Huge,2
10450,451,Jannel,Tembey,LB,Consumer Services,NYSE,"L Brands, Inc.",14790000000.0,46811.15,9,Medium,Huge,3
10646,647,Arni,Baldocci,PSX,Energy,NYSE,Phillips 66,41770000000.0,46240.2,9,Medium,Huge,4
10116,117,Will,Schultz,DAL,Transportation,NYSE,"Delta Air Lines, Inc.",38270000000.0,45197.28,9,Medium,Huge,5
766,767,Dulcinea,Tutin,PBR,Energy,NYSE,Petroleo Brasileiro S.A.- Petrobras,52700000000.0,49733.13,10,Medium,Huge,1
39,40,Dare,Tousey,PXD,Energy,NYSE,Pioneer Natural Resources Company,27010000000.0,49057.3,10,Medium,Huge,2
549,550,Laurel,Mazzey,MSFT,Technology,NASDAQ,Microsoft Corporation,540440000000.00006,46645.14,10,Medium,Huge,3
161,162,Hale,Dominici,VALE,Basic Industries,NYSE,VALE S.A.,40610000000.0,44772.96,10,Medium,Huge,4
493,494,Colan,Cuardall,HCP,Consumer Services,NYSE,"HCP, Inc.",15230000000.0,44712.24,10,Medium,Huge,5
1994,995,Staci,Molyneaux,BP,Energy,NYSE,BP p.l.c.,117990000000.0,48834.11,11,Medium,Huge,1
1931,932,Ginevra,Schaumann,FAST,Consumer Services,NASDAQ,Fastenal Company,12840000000.0,48670.86,11,Medium,Huge,2
1507,508,Davina,Gecke,VIA,Consumer Services,NASDAQ,Viacom Inc.,15550000000.0,47566.34,11,Medium,Huge,3
1516,517,Zita,Perrycost,TTM,Capital Goods,NYSE,Tata Motors Ltd,23690000000.0,46928.52,11,Medium,Huge,4
1211,212,Brita,Doring,NOV,Energy,NYSE,"National Oilwell Varco, Inc.",12790000000.0,45657.1,11,Medium,Huge,5
2764,765,Corabel,Northern,QVCB,Consumer Services,NASDAQ,Liberty Interactive Corporation,10920000000.0,49186.9,12,Medium,Huge,1
2600,601,Alaric,Ealles,EXPE,Consumer Services,NASDAQ,"Expedia, Inc.",22070000000.0,48663.28,12,Medium,Huge,2
2209,210,George,Benezet,SNY,Health Care,NYSE,Sanofi,123340000000.0,46333.18,12,Medium,Huge,3
2286,287,Cyrille,Quakley,TGT,Consumer Services,NYSE,Target Corporation,29030000000.0,45577.95,12,Medium,Huge,4
2148,149,Hestia,Shalcras,BAM,Consumer Services,NYSE,Brookfield Asset Management Inc,37850000000.0,44612.89,12,Medium,Huge,5
11233,234,Sharyl,Pretor,SLF,Finance,NYSE,Sun Life Financial Inc.,20990000000.0,99652.96,1,Very Large,Huge,1
11580,581,Romain,Hemms,ANTM,Health Care,NYSE,"Anthem, Inc.",50340000000.0,99259.06,1,Very Large,Huge,2
11943,944,Helge,Straun,ROK,Capital Goods,NYSE,"Rockwell Automation, Inc.",21140000000.0,97361.61,1,Very Large,Huge,3
11746,747,Eadith,Lapslie,AME,Consumer Durables,NYSE,"AMTEK, Inc.",14340000000.0,97119.81,1,Very Large,Huge,4
11300,301,Brennan,Saxton,HRL,Consumer Non-Durables,NYSE,Hormel Foods Corporation,17940000000.0,94469.31,1,Very Large,Huge,5
3572,573,Boniface,Haddinton,NLSN,Miscellaneous,NYSE,Nielsen N.V.,13700000000.0,98688.11,2,Very Large,Huge,1
3109,110,Analiese,Feveryear,KMX,Consumer Durables,NYSE,CarMax Inc,11240000000.0,97886.2,2,Very Large,Huge,2
3851,852,Adeline,Whittall,MMC,Finance,NYSE,"Marsh & McLennan Companies, Inc.",41270000000.0,95663.13,2,Very Large,Huge,3
3866,867,Harrietta,Gross,PYPL,Miscellaneous,NASDAQ,"PayPal Holdings, Inc.",62270000000.0,93748.34,2,Very Large,Huge,4
3137,138,Costa,Cockburn,PGR,Finance,NYSE,Progressive Corporation (The),26040000000.0,92337.88,2,Very Large,Huge,5
4785,786,Hillyer,Brownsett,NVS,Health Care,NYSE,Novartis AG,191210000000.0,99934.21,3,Very Large,Huge,1
4201,202,Rani,Courtliff,EXPD,Transportation,NASDAQ,"Expeditors International of Washington, Inc.",10270000000.0,98027.76,3,Very Large,Huge,2
4727,728,Derick,Capron,GM,Capital Goods,NYSE,General Motors Company,51800000000.0,97278.09,3,Very Large,Huge,3
4576,577,Layney,Maplestone,NMR,Finance,NYSE,Nomura Holdings Inc ADR,21910000000.0,95921.08,3,Very Large,Huge,4
4538,539,Carmine,Antrim,CMI,Energy,NYSE,Cummins Inc.,27140000000.0,95535.49,3,Very Large,Huge,5
5913,914,Hinze,Attkins,SNPS,Technology,NASDAQ,"Synopsys, Inc.",11090000000.0,99646.5,4,Very Large,Huge,1
5321,322,Reinaldos,Alessandrini,LFC,Finance,NYSE,China Life Insurance Company Limited,87340000000.0,98311.18,4,Very Large,Huge,2
5902,903,Frank,Flannery,ILMN,Capital Goods,NASDAQ,"Illumina, Inc.",25090000000.0,96918.43,4,Very Large,Huge,3
5284,285,Sadie,Volante,HRS,Capital Goods,NYSE,Harris Corporation,13260000000.0,95161.79,4,Very Large,Huge,4
5985,986,Pierce,Reolfi,IFF,Basic Industries,NYSE,"Internationa Flavors & Fragrances, Inc.",10630000000.0,94632.28,4,Very Large,Huge,5
6421,422,Hedi,Baudts,AVB,Consumer Services,NYSE,"AvalonBay Communities, Inc.",27020000000.0,99971.11,5,Very Large,Huge,1
6620,621,Rolfe,McCauley,MNST,Consumer Non-Durables,NASDAQ,Monster Beverage Corporation,28570000000.0,99649.45,5,Very Large,Huge,2
6239,240,Darby,Lasham,NTRS,Finance,NASDAQ,Northern Trust Corporation,21710000000.0,96892.24,5,Very Large,Huge,3
6003,4,Verney,Giacobillo,MMM,Health Care,NYSE,3M Company,127360000000.0,96110.73,5,Very Large,Huge,4
6394,395,Cori,Backshall,DLTR,Consumer Services,NASDAQ,"Dollar Tree, Inc.",16579999999.999998,94752.5,5,Very Large,Huge,5
7495,496,Galen,Mougin,VCSH,,NASDAQ,Vanguard Short-Term Corporate Bond ETF,19140000000.0,98089.43,6,Very Large,Huge,1
7753,754,Cullie,Kabisch,SO,Public Utilities,NYSE,Southern Company (The),51250000000.0,97790.6,6,Very Large,Huge,2
7297,298,Mohandis,Ireland,GRFS,Health Care,NASDAQ,"Grifols, S.A.",14640000000.0,96773.82,6,Very Large,Huge,3
7204,205,Diandra,Rate,DHR,Capital Goods,NYSE,Danaher Corporation,58640000000.0,96225.78,6,Very Large,Huge,4
7392,393,Eleanore,Canceller,ICE,Finance,NYSE,Intercontinental Exchange Inc.,38230000000.0,93362.32,6,Very Large,Huge,5
